country,name,symbol,tag,id,issuer,isin,asset class
netherlands,Hof Hoorneman Real Estate Value Fund,0P0000TXET,hof-hoorneman-real-estate-value,1131299,Hof Hoorneman Fund Management NV,NL0010514212,equity
netherlands,Hof Hoorneman Global Fund,0P00019UT1,hof-hoorneman-global-fund,1131294,Hof Hoorneman Fund Management NV,NL0012061253,equity
netherlands,Hof Hoorneman China Value Fund,0P0000ZDQA,hof-hoorneman-china-value-fund,1131296,Hof Hoorneman Fund Management NV,NL0010556775,equity
netherlands,Asr Euro Bedrijfsobligatie Fonds,0P00018H1Y,asr-euro-bedrijfsobligatie-fonds,1025958,ASR Nederland Beleggingsbeheer N.V.,NL0012293971,bond
netherlands,Asr Euro Staatsobligatie Fonds,0P00018H1Z,asr-euro-staatsobligatie-fonds,1025959,ASR Nederland Beleggingsbeheer N.V.,NL0012293989,bond
netherlands,Robeco Afrika Fonds,0P0000G0B3,robeco-afrika-fonds,1043241,Robeco Institutional Asset Mgmt BV,NL0006238131,equity
netherlands,Nn Daily Consumer Goods Fund - P,0P00000LGV,nn-daily-consumer-goods-fund-p,1025906,NN Investment Partners BV,NL0000289767,equity
netherlands,Tcm Global Frontier High Dividend Equity,0P0000XC4X,tcm-global-frontier-high-dividend-e,1043248,Trustus Capital Management BV,NL0010278073,equity
netherlands,Actiam Duurzaam Mixfonds Neutraal,LP68237696,sns-optimaal-oranje,1011123,ACTIAM N.V.,NL0010579165,equity
netherlands,Perlas Dynamisch,0P00018STG,perlas-dynamisch,1043244,Ostrica B.V.,NL0010062154,equity
netherlands,Nn Dynamic Mix Fund I - P,0P00000FTF,nn-dynamic-mix-fund-i-p,1025898,NN Investment Partners BV,NL0000293140,equity
netherlands,Janus Henderson Horizon Pan European Property Equities Fund H2 Eur,0P0000Z76F,s-horizon-pan-european-property-eqh,1039708,Janus Henderson Investors,LU0892274969,equity
netherlands,Nn Emerging Europe Fund - P,0P00000BBP,nn-emerging-europe-fund-p,1025889,NN Investment Partners BV,NL0000292225,equity
new zealand,Asb Kiwisaver Scheme's Conservative (default),0P0000FZGR,asb-kiwisaver-schemes-conservative,1032266,ASB Group Investments Limited,,equity
